CPU,SMT enabled,Online CPUs,# Sockets,Cores/Socket,Threads/core,Ncores,NUMA nodes,L2 cache,L3 cache,Power Policy,# Meas,Score,sem,Spread,Score/Ncores,RAM,SWAP,electric_power_mean,electric_power_std,HS23/W,min_score,max_score,first_date,last_date
Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz,1.0,0-103,2.0,26.0,2.0,104.0,2.0,52 MiB (52 instances),71.5 MiB (2 instances),performance,4.0,1391.6,110.3,220.5,13.4,-,-,-,-,-,1152.3,1678.1,2025-04-10T15:57:46Z,2025-10-27T08:28:27Z
Intel(R) Xeon(R) Gold 6354 CPU @ 3.00GHz,1.0,0-71,2.0,18.0,2.0,72.0,2.0,45 MiB (36 instances),78 MiB (2 instances),not_available,4.0,1087.1,110.8,221.6,15.1,-,-,-,-,-,812.4,1355.1,2024-11-03T05:43:28Z,2025-01-31T04:59:53Z
Intel(R) Xeon(R) Platinum 8160 CPU @ 2.10GHz,0.0,0-47,2.0,24.0,1.0,48.0,2.0,48 MiB (48 instances),66 MiB (2 instances),,4.0,983.9,72.1,144.3,20.5,-,-,-,-,-,859.9,1165.6,2025-10-13T16:34:04Z,2025-10-16T12:18:18Z
Intel(R) Xeon(R) CPU E5-2680 v3 @ 2.50GHz,0.0,0-23,2.0,12.0,1.0,24.0,4.0,256K,15360K,not_available,4.0,411.5,0.4,0.7,17.1,-,-,-,-,-,410.5,412.3,2023-07-12T13:40:02Z,2023-07-13T07:07:09Z
AMD EPYC 7542 32-Core Processor,1.0,0-127,2.0,32.0,2.0,128.0,2.0,512K,16384K,conservative,5.0,1910.4,39.3,88.0,14.9,-,-,-,-,-,1789.0,1992.2,2023-07-15T00:03:18Z,2023-11-11T12:50:08Z
Intel(R) Xeon(R) Gold 6240R CPU @ 2.40GHz,1.0,0-47,1.0,24.0,2.0,48.0,1.0,24 MiB (24 instances),35.8 MiB (1 instance),performance,5.0,634.0,95.3,213.1,13.2,-,-,-,-,-,491.1,1010.8,2024-06-15T13:11:51Z,2024-09-05T01:45:16Z
Intel(R) Xeon(R) Gold 5218 CPU @ 2.30GHz,0.0,0-31,2.0,16.0,1.0,32.0,2.0,1024K,22528K,performance,5.0,362.0,12.3,27.4,11.3,-,-,-,-,-,331.9,392.5,2023-10-23T11:06:59Z,2023-11-30T20:59:32Z
AMD EPYC 7302 16-Core Processor,0.0,0-31,2.0,16.0,1.0,32.0,2.0,16 MiB (32 instances),256 MiB (16 instances),performance,5.0,754.6,9.5,21.3,23.6,-,-,-,-,-,731.5,774.2,2024-10-24T21:43:10Z,2024-12-06T05:12:28Z
AMD EPYC 7313 16-Core Processor,1.0,0-63,2.0,16.0,2.0,64.0,2.0,16 MiB (32 instances),256 MiB (8 instances),performance,5.0,1533.9,100.6,225.0,24.0,-,-,-,-,-,1285.8,1799.6,2025-06-26T15:49:07Z,2025-08-14T10:24:23Z
AMD EPYC 7742 64-Core Processor,0.0,0-127,2.0,64.0,1.0,128.0,2.0,512K,16384K,not_available,5.0,2338.7,95.9,214.4,18.3,-,-,-,-,-,2044.5,2646.2,2024-02-03T17:45:31Z,2024-06-26T14:29:58Z
Intel(R) Xeon(R) CPU           X5675  @ 3.07GHz,0.0,0-11,2.0,6.0,1.0,12.0,1.0,3 MiB (12 instances),24 MiB (2 instances),,5.0,146.4,1.4,3.1,12.2,-,-,-,-,-,142.7,150.6,2025-10-21T10:57:13Z,2025-10-28T12:06:03Z
Intel(R) Xeon(R) CPU           L5630  @ 2.13GHz,0.0,0-7,2.0,4.0,1.0,8.0,2.0,256K,12288K,performance,5.0,69.6,1.3,3.0,8.7,-,-,-,-,-,65.8,74.1,2025-06-21T02:23:50Z,2025-10-08T04:01:20Z
